55253;56869;Rheinland-Pfalz
57001;57489;Nordrhein-Westfalen
57501;57648;Rheinland-Pfalz
58001;59966;Nordrhein-Westfalen
59969;59969;Hessen
59969;59969;Nordrhein-Westfalen
60001;63699;Hessen
63701;63774;Bayern
63776;63776;Hessen
63776;63928;Bayern
63928;63928;Baden-Württemberg
63930;63939;Bayern
64201;64753;Hessen
64754;64754;Baden-Württemberg
64754;65326;Hessen
65326;65326;Rheinland-Pfalz
65327;65391;Hessen
65391;65391;Rheinland-Pfalz
65392;65556;Hessen
65558;65582;Rheinland-Pfalz
65583;65620;Hessen
65621;65626;Rheinland-Pfalz
65627;65627;Hessen
65629;65629;Rheinland-Pfalz
65701;65936;Hessen
66001;66459;Saarland
66461;66509;Rheinland-Pfalz
66511;66839;Saarland
66841;67829;Rheinland-Pfalz
68001;68312;Baden-Württemberg
68501;68519;Hessen
68520;68549;Baden-Württemberg
68601;68649;Hessen
68701;69234;Baden-Württemberg
69235;69239;Hessen
69240;69429;Baden-Württemberg
69430;69431;Hessen
69434;69434;Baden-Württemberg
69434;69434;Hessen
69435;69469;Baden-Württemberg
69479;69488;Hessen
69489;69502;Baden-Württemberg
69503;69509;Hessen
69510;69514;Baden-Württemberg
69515;69518;Hessen
70001;74592;Baden-Württemberg
74594;74594;Bayern
74594;76709;Baden-Württemberg
76711;76891;Rheinland-Pfalz
77601;79879;Baden-Württemberg
80001;87490;Bayern
87491;87491;Außerhalb der BRD
87493;87561;Bayern
87567;87569;Außerhalb der BRD
87571;87789;Bayern
88001;88099;Baden-Württemberg
88101;88146;Bayern
88147;88147;Baden-Württemberg
88147;88179;Bayern
88181;89079;Baden-Württemberg
89081;89081;Bayern
89081;89085;Baden-Württemberg
89087;89087;Bayern
89090;89198;Baden-Württemberg
89201;89449;Bayern
89501;89619;Baden-Württemberg
90001;96489;Bayern
96501;96529;Thüringen
97001;97859;Bayern
97861;97877;Baden-Württemberg
97888;97892;Bayern
97893;97896;Baden-Württemberg
97896;97896;Bayern
97897;97900;Baden-Württemberg
97901;97909;Bayern
97911;97999;Baden-Württemberg
98501;99998;Thüringen
